GENE	CHROM POSITION	library_15
IGSF1	20_42386_45445	0.00000
IGSF10	9_22946071_22959192	0.00000
IGSF11	1_80244573_80366771	0.11016
IGSF21	21_12260_45470	13.69380
IGSF3	1_91547463_91601791	23.96450
IGSF5	1_107459500_107493427	2.87971
IGSF6	14_8734898_8740376	0.37842
IGSF9	25_1682127_1692979	19.35570
IGSF9B	24_2419021_2464776	4.37010
IHH	7_21772937_21807290	7.02528
IK	13_384536_392860	49.71440
IKBIP	1_46527796_46536825	21.91340
IKBKAP	Z_70375230_70406608	16.71090
IKBKB	22_2720586_2732603	5.44631
IKBKE	26_2416760_2427531	1.66913
IKZF1	2_80625614_80682874	0.00000
IKZF2	7_3604087_3704109	0.00000
IKZF3	27_4261769_4279833	0.25670
IKZF4	LGE22C19W28_E50C23_496212_504340	6.11252
IKZF5	6_30952997_30967338	9.98015
IL10	26_2504106_2506341	1.01520
IL10RA	24_5424231_5427822	0.00000
IL10RB	1_104632706_104642675	16.15150
IL11RA	Z_8187478_8207970	0.21147
IL12A	9_21727351_21729152	0.00000
IL12B	13_7492734_7498870	0.00000
IL12RB1	28_3801022_3805613	0.00000
IL12RB2	8_27549757_27564572	0.13296
IL13	13_16272942_16274613	0.00000
IL13RA1	4_3370476_3384413	4.85423
IL13RA2	4_2812613_2821195	0.76771
IL15	4_29463695_29495839	4.75854
IL15RA	1_965081_969658	0.92861
IL16	10_11600452_11641278	0.21618
IL17B	13_7845532_7850421	0.08877
IL17C	11_17888420_17893360	0.00000
IL17D	1_178054675_178055026	0.00000
IL17F	3_107184893_107187650	0.36620
IL17RA	1_61752898_61772612	11.63380
IL17RD	12_8540088_8556027	10.47210
IL17REL	1_19816670_19859279	0.00000
IL18	24_6163146_6165998	10.69020
IL18R1	1_133262062_133276926	0.00000
IL18RAP	1_133282791_133298853	0.00000
IL19	26_2516707_2520717	0.16863
IL1B	22_random_6261_7867	0.36417
IL1R1	1_133163681_133183150	4.56706
IL1R2	1_133108258_133120107	1.99468
IL1RAP	9_13326549_13367286	53.57720
IL1RAPL1	1_115540696_116242849	0.00000
IL1RAPL2	4_16816944_17145254	0.96754
IL1RL1	1_133230743_133253964	0.00000
IL1RL2	1_133191158_133206159	0.00000
IL2	4_53134198_53137244	0.00000
IL20RA	3_54146106_54166896	2.97728
IL20RB	14_11785013_11795561	0.00000
IL21	4_53097086_53101842	0.00000
IL21R	14_7297778_7310538	0.00000
IL22	1_35062145_35064598	0.00000
IL22RA1	23_5614767_5623011	4.14309
IL22RA2	3_54113935_54119441	0.19172
IL23A	Un_11786067_11787678	0.00000
IL23R	8_27528209_27541930	0.00000
IL26	1_35041160_35046575	0.00000
IL28B	Un_31711799_31713307	0.00000
IL28RA	23_5624904_5631565	3.87066
IL2RA	1_3377294_3393600	0.40006
IL2RG	4_2367918_2370690	0.24987
IL3	13_16044727_16045941	0.00000
IL31RA	Z_16839938_16878384	0.00000
IL34	11_1708671_1713041	0.00000
IL4	13_16278991_16280728	0.00000
IL4I1	16_190852_195647	0.00000
IL4R	14_7276298_7291743	11.50850
IL5	13_16229443_16232128	0.00000
IL5RA	12_18074352_18088566	0.00000
IL6	2_30995537_30998226	0.00000
IL6ST	Z_16887032_16919671	27.99120
IL7	2_120078297_120088062	0.00000
IL7R	Z_10746050_10759012	1.95239
IL8L1	4_50342295_50345375	3.45819
IL8L2	4_50354925_50358090	11.78050
IL9	13_14562899_14565599	0.00000
IL9R	14_7316119_7325730	0.00000
ILDR1	1_82616646_82631517	4.84515
ILDR2	1_91207395_91240713	20.85170
ILF2	25_684857_689005	106.47300
ILK	1_193536232_193541682	49.54180
ILKAP	9_4332063_4340514	33.05490
IMMP1L	5_5047632_5078434	0.00000
IMMP2L	1_27225097_27674088	9.08608
IMMT	4_85046208_85059057	66.04050
IMP4	9_2934842_2940332	22.03030
IMPA1	2_121264827_121276635	8.97467
IMPA2	2_97173754_97193841	18.60780
IMPACT	2_103033234_103051365	14.99400
IMPAD1	2_111279495_111301658	35.68560
IMPDH2	12_11614645_11626213	74.97140
IMPG1	3_79802794_79856460	0.00000
IMPG2	1_84610639_84660808	0.77734
INA	6_23104639_23106154	1.15993
INADL	8_26226027_26361781	0.45519
INCENP	5_16387687_16406173	5.37654
INDOL1	22_2460307_2466296	0.00000
INF2	5_51385593_51423855	2.04197
ING1	1_138546137_138549093	51.13640
ING2	4_39268085_39273400	7.71054
ING3	1_23197213_23211197	10.48440
ING4	1_76548289_76563040	7.55395
ING5	9_4276538_4282108	13.64370
INHA	7_21555003_21556682	0.00000
INHBA	2_51170891_51183221	0.22400
INHBB	7_25068115_25069462	2.58929
INO80	5_23741054_23801604	8.15439
INO80C	2_83916961_83951682	7.27268
INO80D	7_12098384_12141344	1.82261
INPP4A	1_131541976_131655338	3.77408
INPP4B	4_29544241_29822761	0.32463
INPP5A	6_34575892_34785975	15.21640
INPP5B	23_3487278_3501359	6.92932
INPP5D	9_636353_681088	0.28761
INPP5E	17_7874200_7884093	11.37580
INPP5F	6_29852219_29890552	3.23290
INPP5J	15_9993766_10000756	4.46241
INPP5K	19_5258447_5274523	22.12130
INPPL1	4_1207060_1216112	0.16498
INS	5_13125199_13129792	0.00000
INSC	5_10000931_10120123	0.00000
INSIG1	2_7827460_7834109	154.58500
INSIG2	7_28334460_28347384	43.13380
INSR	28_3879282_3915208	11.14120
INTS1	14_2554221_2583071	20.78830
INTS10	4_33574070_33592674	7.09581
INTS12	4_38124330_38140689	13.65220
INTS2	19_7467234_7482268	39.64940
INTS3	25_650239_669099	52.19760
INTS4	1_192088909_192121227	15.95200
INTS6	1_169393462_169435218	11.84930
INTS7	3_21387107_21407509	12.03390
INTS8	2_126126451_126151324	13.89870
INTS9	3_105655450_105723050	8.42015
INTU	4_33700929_33739802	2.29140
INVS	2_89176509_89261506	8.41804
IP6K1	12_2385792_2420212	19.86100
IP6K2	12_8964185_8971788	12.54750
IP6K3	26_4540544_4553338	0.28756
IPCEF1	3_49348185_49411984	0.11930
IPMK	6_4731816_4766788	57.14350
IPO13	8_19244451_19262905	12.51410
IPO5	1_144364855_144402486	43.60980
IPO7	5_8805167_8838320	104.16600
IPO8	1_59757295_59800843	11.13220
IPO9	26_561784_579583	10.96640
IPP	8_20126069_20133406	12.81520
IPPK	12_3309298_3333849	14.29310
IQCA1	7_5014285_5099449	0.00000
IQCB1	7_25801486_25819421	1.17437
IQCD	15_10763897_10771390	0.49859
IQCE	14_3309626_3336080	22.42690
IQCG	9_14580434_14597953	0.00000
IQCK	14_14708833_14743911	0.00000
IQGAP1	10_19795343_19845401	33.66400
IQGAP2	Z_23320468_23436545	2.93359
IQSEC3,LOC101749990	1_60139818_60245747	0.63332
IQUB	1_22085541_22106083	1.01399
IRAK1BP1	3_79041089_79051382	1.01189
IRAK2	12_19418088_19431605	21.06190
IRAK4	1_30012703_30024156	4.36618
IREB2	10_3160488_3182344	15.26880
IRF1	13_16212423_16218382	0.00000
IRF10	20_10408286_10410913	6.68728
IRF2	4_38970618_39011963	14.24140
IRF2BP2	3_37700880_37711815	19.73940
IRF4	2_66546039_66558972	0.55301
IRF5	1_621302_630454	0.55049
IRF6	26_3108239_3115112	9.12093
IRF7	5_15206201_15209669	3.66381
IRF8	11_17057418_17064804	44.07360
IRG1	1_153686163_153693674	0.00000
IRS1	9_8718366_8751307	8.28138
IRS2,LOC101749060	1_137965976_137995912	75.05370
IRX1	2_87131255_87133696	6.48742
IRX2	2_86627514_86631598	1.02483
IRX4	2_86064857_86072861	0.65685
IRX5	11_3659647_3662717	4.53365
ISCA1	Z_40679499_40686431	4.66228
ISCA2	5_37202966_37204611	35.64680
ISCU	15_6514846_6518192	63.78380
ISG12-2	2_89725777_89729168	1.20054
ISL1	Z_15003132_15014400	0.00000
ISLR	10_2098670_2102672	0.00000
ISLR2	10_2073360_2106630	0.00000
ISM1	3_12068554_12108392	0.27333
ISM2	5_38521175_38528303	14.29180
ISOC1	Z_45404950_45444190	13.76930
ISPD	2_28410256_28522473	2.37844
IST1	11_19166610_19174304	70.68890
ISX	1_52085696_52112734	6.46955
ISY1	12_5051634_5061709	18.50890
ITCH	20_1766292_1829963	4.77322
ITFG1	11_7064472_7136251	26.92030
ITFG2	1_75156807_75173384	11.26770
ITFG3	14_12244055_12262838	39.45200
ITGA1	Z_15630609_15703309	0.26503
ITGA11	10_18649054_18699980	0.00000
ITGA2	Z_15721118_15786584	0.57110
ITGA3	Un_29130021_29132184	27.83850
ITGA4	7_13818598_13852732	1.11953
ITGA6	7_17214611_17252863	6.65666
ITGA7	LGE22C19W28_E50C23_random_507504_542923	1.15446
ITGA8	2_20218226_20317130	0.19790
ITGA9	2_49290254_49510044	2.96809
ITGAD	14_15099944_15118501	2.18227
ITGAV	7_1296888_1342392	20.09300
ITGB1	2_13975830_14017232	175.57100
ITGB1BP1	3_95754416_95761293	19.84860
ITGB1BP2	4_2236495_2243925	0.00000
ITGB1BP3	10_10218225_10220526	1169.18000
ITGB2	7_7175039_7186628	0.20930
ITGB3	27_2302596_2319626	0.00000
ITGB3BP	8_26716631_26735479	3.97491
ITGB4	18_4693393_4713914	1.45403
ITGB5	7_27374145_27415070	5.14510
ITGB6	7_21278256_21324392	0.12345
ITGB8	2_30113970_30166857	21.65670
ITGBL1	1_142611507_142746121	0.07933
ITIH2	1_4102693_4127916	129.07500
ITIH3	12_766396_787917	2.10781
ITIH5	1_4049659_4095615	0.06463
ITIH6	Un_7827221_7833032	3.90851
ITK	13_10734572_10764735	0.07827
ITM2A	4_1447779_1456762	219.50100
ITM2B	1_168013239_168039209	81.04290
ITM2C	9_4865362_4881587	4.22315
ITPA	8_4688231_4691880	29.59490
ITPK1	5_44167558_44301305	9.96396
ITPKA	5_23953551_23994041	16.85310
ITPKB	3_11878963_11927647	3.67153
ITPR1	12_18398646_18538309	3.38721
ITPR2	1_67807624_68069360	3.94566
ITPR3	26_4560708_4599056	11.60100
ITPRIP	6_23797306_23819104	3.37661
ITPRIPL2	14_8453595_8457796	14.31420
ITSN1	1_104842396_104958471	18.47210
ITSN2	3_103895601_103963225	3.15897
IVD	5_797516_813243	13.56090
IVNS1ABP	8_random_103429_120036	44.41240
IWS1	9_807614_824699	45.10890
IYD	3_47713544_47731245	0.59694
JAG1	3_12843905_12879663	5.14372
JAG2	5_52024986_52086423	10.34040
JAK1	8_27102124_27154782	54.83290
JAK2	Z_27391781_27473302	3.77407
JAK3	Un_22484296_22490925	0.39029
JAKMIP1	4_78913095_79041807	0.00000
JAKMIP3	6_34337500_34395790	0.00000
JAM2	1_101846164_101879827	3.99012
JAM3	24_2487190_2515621	6.35950
JARID2	2_61148361_61354739	51.65430
JAZF1	2_33497259_33670877	7.77121
JDP2	5_37546188_37550495	66.85190
JHDM1D	1_56822953_56860120	10.35450
JKAMP	5_54719445_54723476	13.25510
JMJD1C	6_7269726_7416689	11.77320
JMJD4	2_3211700_3220714	7.69158
JMJD6	18_4222670_4233797	20.17180
JMJD7	5_24424421_24430668	1.68985
JMJD8	14_13144224_13145956	10.68780
JMY	Z_22200428_22263507	3.34005
JOSD1	1_50691359_50701751	16.62570
JPH1	2_117817763_117898728	43.12300
JPH2	20_5847788_5865651	3.67937
JPH3	11_17334595_17376819	0.00000
JTB	25_random_17490_18355	107.70200
JUN	8_25266744_25268452	116.31500
JUP	27_4658139_4673620	107.34800
K123	1_3360964_3371088	0.72951
KAL1	1_125083628_125207722	0.00000
KALRN	7_26895565_27363194	0.50756
KANK1	Z_25704767_25792870	7.48079
KANK4	8_26365576_26378351	0.00000
KANSL1	27_2884702_2934787	25.98620
KANSL2	Un_35331588_35339888	41.08490
KANSL3	22_2758046_2777989	30.73540
KARS	11_19309961_19322126	212.76300
KAT2A,LOC772158	27_4827000_4834451	0.00000
KAT2B	2_36436669_36470415	6.35189
KAT5	Un_6147631_6149806	23.45010
KAT6A	22_2665927_2695453	11.73970
KAT6B	6_14546948_14642558	1.93074
KATNA1	3_47446236_47459835	7.47940
KATNAL1	1_174488093_174528070	2.32615
KATNAL2	Z_1765769_1782237	0.00000
KATNB1	11_488125_505356	3.67523
KAZALD1	6_22599574_22604129	0.33987
KAZN	21_4964677_4977376	6.22010
KBP	21_1456790_1466358	3.54123
KBTBD10	7_18159305_18169947	0.00000
KBTBD11	3_90435764_90452588	0.71353
KBTBD12	12_9545980_9584686	0.52054
KBTBD13	10_17260299_17263786	0.70110
KBTBD2	2_48646125_48654002	25.42300
KBTBD3	1_180354931_180372173	0.35964
KBTBD4	5_22095230_22100669	18.15770
KBTBD5	2_1999156_2009606	0.74561
KBTBD8	12_14599055_14609670	17.78760
KCMF1	Z_53599325_53653701	30.12340
KCNA1	1_73667210_73675296	0.00000
KCNA10	26_1381286_1383136	0.00000
KCNA2	26_1412312_1414588	0.00000
KCNA3	26_1435025_1436594	0.24090
KCNA4	5_4502304_4506991	0.00000
KCNA5	1_73761129_73764181	0.00000
KCNAB1	9_22353055_22381426	0.12352
KCNAB2	21_670082_683795	4.78325
KCNB1	20_6869429_6973029	1.07013
KCNB2	2_117126717_117320528	0.21825
KCNC1	5_11597396_11713517	1.66748
KCNC2	1_37554138_37651977	0.00000
KCNC4	26_1309319_1327582	1.60623
KCND2	1_23291120_23554872	0.15862
KCND3	26_3240502_3328397	0.00000
KCNE2	1_105191363_105219072	0.26496
KCNE3	1_195076948_195078727	0.00000
KCNE4	9_7607738_7610088	0.00000
KCNF1	3_96578894_96581485	0.00000
KCNG1	20_13707959_13721891	0.04810
KCNG2	2_56365652_56391148	0.00000
KCNG3	3_23264769_23277299	0.25762
KCNG4	11_16123765_16141010	0.19297
KCNH1	3_21679722_21839587	0.20680
KCNH4,RAB5C	27_4837931_4856986	97.44620
KCNH5	5_53408538_53570818	0.11706
KCNH6	27_2671861_2697224	0.32989
KCNH7	7_20331327_20536768	0.06726
KCNH8	2_36024866_36190050	0.00000
KCNIP1	13_2887710_3184928	1.39482
KCNIP2	6_22214173_22216964	0.53825
KCNIP4	4_74152963_74523916	0.69680
KCNJ1	24_1064932_1078842	0.14859
KCNJ11	5_11247833_11249730	0.00000
KCNJ12	14_4436071_4446226	0.00000
KCNJ13	9_523844_533900	0.15870
KCNJ15	1_106882230_106907257	0.00000
KCNJ16	18_8423719_8454711	0.00000
KCNJ2	18_8467063_8473806	0.00000
KCNJ3	7_35234865_35264450	0.00000
KCNJ4	1_50761651_50774038	0.18032
KCNJ5	24_1060905_1109899	2.20516
KCNJ6	1_106589800_106750443	0.00000
KCNJ8	1_67102588_67110417	0.20746
KCNK1	3_38006740_38036740	9.35156
KCNK10	5_42237621_42310428	0.00000
KCNK12	3_8577889_8597775	3.71543
KCNK13	5_42987750_43049268	0.67549
KCNK15	20_5672662_5678491	0.00000
KCNK16	3_28441595_28451239	0.10253
KCNK17	3_28453659_28478676	0.00000
KCNK18	6_28649067_28653007	0.19174
KCNK2	3_20175750_20279907	0.20525
KCNK5	3_28548523_28582062	1.32678
KCNK9	3_104842507_104855709	0.00000
KCNMA1	6_12928968_13358134	6.44736
KCNMB1	13_3153570_3160576	0.00000
KCNMB2	9_17091142_17207233	0.00000
KCNMB4	1_35778483_35789452	0.00000
KCNN2	Z_73093573_73162475	1.94092
KCNQ1	5_12610081_12931549	21.24700
KCNQ2	20_9271158_9338422	0.00000
KCNQ3	2_140986378_141175413	0.00000
KCNQ4	23_4900936_4908465	0.37536
KCNQ5	3_80962166_81225663	0.00000
KCNRG	1_168673263_168678578	8.66708
KCNS1	20_5519421_5531445	0.00000
KCNS2	2_127425075_127429880	0.08055
KCNS3	3_99922581_99945060	0.00000
KCNT1	17_8211856_8266051	12.50220
KCNT2	8_2685029_2793829	2.25441
KCNV1	2_131952901_131962921	0.00000
KCNV2	Z_26455182_26471190	0.00000
KCTD1	2_103911716_103962007	2.50784
KCTD10	15_6728169_6739050	49.67520
KCTD12	4_11342208_11345921	3.90332
KCTD14	1_192082579_192085930	4.76023
KCTD15	11_10168413_10219357	2.87802
KCTD16	13_17025881_17063479	0.00000
KCTD17	1_51293363_51345461	7.51893
KCTD18	7_10671831_10679943	0.25470
KCTD19	11_1223834_1237296	0.00000
KCTD2	18_10900893_10907984	70.71760
KCTD20	26_1487843_1507003	13.60070
KCTD21	1_192036793_192048530	4.13783
KCTD3	3_20069283_20095639	7.21169
KCTD4	1_166994663_166996003	0.00000
KCTD5	14_7360448_7390691	20.86670
KCTD6	12_11813322_11820653	12.09470
KCTD7	19_5021625_5028421	1.65096
KCTD8	4_67298673_67383830	0.67313
KCTD9	22_817193_825285	16.70760
KDELC1	1_142045157_142055858	52.20790
KDELC2	1_179471134_179490578	1.34303
KDELR2	14_8783750_8795634	197.18300
KDELR3	1_50753989_50759101	0.00000
KDM1A	23_1686688_1716552	29.38680
KDM1B	2_60429257_60456076	10.03650
KDM2A	Un_13704992_13738067	12.54300
KDM2B	15_5469241_5573570	28.58450
KDM3A	4_85139410_85166935	18.37310
KDM3B	13_17614431_17660450	5.70565
KDM4A	8_19055515_19079481	11.62220
KDM4B	28_4514224_4591015	8.59223
KDM4C	Z_27952718_28256602	3.38485
KDM5A	1_60369255_60416811	13.01920
KDM5B	26_538709_559730	34.61460
KDM6A	1_110157767_110307363	14.11680
KDM8	14_7263714_7274858	9.92034
KDR	4_64794198_64821866	0.12884
KDSR	2_67899653_67917417	86.73860
KEL	1_77334318_77358168	0.74971
KERA	1_43843142_43851618	0.00000
KHDRBS1	23_5033893_5049430	28.40000
KHDRBS2	3_85488297_85827335	0.00000
KHDRBS3	2_142700085_142780351	72.30160
KIAA0020	Z_26488494_26512959	32.27430
KIAA0040	8_7045233_7050532	3.35942
KIAA0100	19_5752331_5765414	14.62650
KIAA0141	13_1732476_1753497	4.96501
KIAA0182	11_17104443_17192402	15.01900
KIAA0195	18_11059628_11106499	0.00000
KIAA0196	2_138283992_138306808	20.30360
KIAA0226	9_14483464_14511242	1.88123
KIAA0226L	1_167410639_167431021	1.69552
KIAA0232	4_79387358_79436813	11.26600
KIAA0240	3_22414879_22446730	2.52055
KIAA0247	5_27160703_27235520	24.11070
KIAA0284	5_51636407_51691148	9.94076
KIAA0317	5_37286003_37308422	10.07490
KIAA0319	2_57853352_57900170	0.00000
KIAA0319L	23_4263332_4289931	20.35280
KIAA0355	11_10377519_10420236	2.68220
KIAA0368,MIR1452	Z_66228285_66287905	7.10313
KIAA0391	5_35397789_35435914	14.84120
KIAA0408	3_58597592_58609664	0.06999
KIAA0430	14_7515711_7540036	12.78780
KIAA0494	8_20755047_20769435	35.12380
KIAA0513	11_17220890_17233219	0.00000
KIAA0528	1_66650385_66717774	11.00190
KIAA0556	14_11879419_11933096	1.27856
KIAA0564	1_165301582_165480037	4.59726
KIAA0586	5_55032524_55096938	2.92031
KIAA0664	19_9466658_9499471	20.81160
KIAA0753	19_9803557_9824166	3.56630
KIAA0825	Z_57756615_57903776	0.09384
KIAA0895	2_47352282_47377307	2.11484
KIAA0895L	11_1011957_1023259	1.27753
KIAA0907	25_1476367_1485201	30.16040
KIAA0913	6_15388338_15449462	6.46286
KIAA0922	4_19408206_19478973	1.90999
KIAA0930	1_70393969_70461996	9.94124
KIAA0947	2_55418731_55452924	19.63240
KIAA1009	3_76874910_76922383	4.53578
KIAA1024	10_12243796_12252119	0.00000
KIAA1024L	Z_45135077_45143250	0.00000
KIAA1033	1_54207787_54246842	2.40985
KIAA1045	Z_8359972_8368484	0.00000
KIAA1107	8_13177601_13218520	5.81150
KIAA1109	4_53154681_53263908	6.24813
KIAA1143	2_43804782_43810679	16.36440
KIAA1147	1_57459496_57469863	15.46570
KIAA1161	Z_7510217_7521964	0.71172
KIAA1191	13_9742537_9750247	30.25630
KIAA1199	10_11737234_11840252	0.94046
KIAA1210	4_16593131_16633638	1.82524
KIAA1211	4_64416090_64475888	2.15885
KIAA1211L,LOC101750151	1_131759500_131822490	1.17504
KIAA1217	2_16816248_17151955	4.91537
KIAA1239	4_69522597_69573927	0.97860
KIAA1244	3_53676898_53762709	3.77482
KIAA1279	6_10392494_10401275	13.54700
KIAA1324	26_1128748_1137029	29.82880
KIAA1324L	1_7424278_7516910	0.49539
KIAA1328	Z_6804905_6961626	9.46450
KIAA1377	1_182006401_182043731	0.08464
KIAA1407	1_82437116_82456591	0.86253
KIAA1429	2_125924738_125951446	14.23840
KIAA1430	4_38783379_38804671	13.20560
KIAA1432	Z_27571026_27623518	4.57804
KIAA1456	4_64216760_64318034	0.17002
KIAA1462	2_14820183_14846822	0.34850
KIAA1467	1_48122102_48143919	1.48864
KIAA1468	2_68329964_68405770	19.44270
KIAA1522	23_5196254_5216065	10.66620
KIAA1524	1_86946899_86980161	2.50240
KIAA1549	1_56384124_56462068	11.13940
KIAA1609	11_16229068_16241357	3.14833
KIAA1614	8_5803749_5810200	6.33033
KIAA1644	1_69423960_69505449	8.36455
KIAA1704	1_166927917_166942705	9.32706
KIAA1715	7_15868985_15906600	15.33830
KIAA1731	1_185071885_185111644	1.91242
KIAA1737	5_38346023_38358662	12.69190
KIAA1751	21_1839785_1904488	0.06041
KIAA1755	20_10698017_10708072	0.00000
KIAA1841	3_2088028_2111244	2.87512
KIAA1919	3_65610795_65621240	14.50150
KIAA1958	Z_65774806_65831414	9.83526
KIAA1984	19_831528_835348	0.00000
KIAA2013	21_5533590_5539071	56.58350
KIAA2018	1_78671484_78695218	4.37420
KIAA2022	4_12327686_12373402	2.68426
KIAA2026	Z_27682949_27745782	5.44748
KIDINS220	3_95444474_95504285	31.38520
KIF11	6_20274523_20290575	4.81016
KIF12	19_5637491_5641389	0.66936
KIF13A	2_60480395_60594070	12.87670
KIF13B	3_105851049_105973507	2.04451
KIF14	8_1449322_1507892	1.41644
KIF15	2_43768491_43804536	8.03524
KIF16B	3_5413438_5548228	9.63719
KIF17	21_6746883_6762077	0.14425
KIF18A	5_3877670_3920025	2.56042
KIF18B	27_1315854_1323798	5.71955
KIF19	18_9398567_9402421	0.00000
KIF1A	9_4341821_4370758	1.45373
KIF1B	21_3633294_3715714	43.47740
KIF20A	13_9387148_9397065	8.86213
KIF21A	1_15150051_15234082	7.34319
KIF21B	26_276164_305332	0.48313
KIF23	10_18828577_18846367	5.39206
KIF24	Z_7437757_7472456	1.17301
KIF25	3_41356963_41389150	0.86084
KIF26A	5_50608350_50707811	1.72763
KIF26B	3_33664651_33957824	0.08030
KIF27	Z_39900366_39926251	1.12856
KIF2A	Z_19280023_19337231	14.16120
KIF2B	18_5604785_5606895	0.00000
KIF2C	8_19652010_19661501	5.34700
KIF3A	13_16281845_16300805	2.25101
KIF3B	20_10492513_10501282	12.95500
KIF3C	3_104515564_104529392	1.34123
KIF4A	4_1248685_1265752	8.26715
KIF5B	2_14134488_14168365	73.01200
KIF5C	7_34274283_34341919	19.51820
KIF6	3_28295246_28437368	0.00000
KIF7	10_12320279_12329790	6.35888
KIF9	2_3931992_3955967	0.79931
KIFAP3	8_4982415_5039767	43.07900
KIFC1	16_289925_290730	15.94780
KIFC3	11_475482_487515	5.00352
KIN	1_4129600_4144436	9.30422
KIRREL	25_325800_345806	2.56305
KIRREL3	24_450988_687637	0.00000
KIT	4_64878571_64930638	23.03520
KITLG	1_42864264_42915866	5.84307
KK34	13_16050818_16052573	0.00000
KL	1_173504508_173551960	0.00000
KLB	4_68904471_68921649	0.00000
KLC1	5_50331641_50375062	4.17290
KLC4	3_4290942_4312790	45.48900
KLF1	8_19315831_19318950	22.44450
KLF10	2_128995118_128999245	31.94480
KLF11	3_96059084_96065190	10.85850
KLF12	1_154791542_155046978	8.41063
KLF13,LOC101751144	10_5070241_5100747	1.20991
KLF15	12_10612529_10626926	10.79340
KLF2	28_4147550_4149429	0.00000
KLF3	4_69143490_69164875	17.53830
KLF4	Z_55526614_55531085	9.82689
KLF5	1_155257576_155276148	63.32630
KLF6	2_11735306_11744064	34.95910
KLF7	7_11766888_11827798	0.04176
KLF8	4_11398648_11418091	8.27005
KLF9	Z_34876839_34892514	16.63740
KLHDC1	5_57525083_57553077	11.91170
KLHDC10	1_859817_873744	19.30010
KLHDC2	5_57553241_57564955	23.71330
KLHDC3	3_4206145_4221573	5.58314
KLHDC4	11_17380191_17407856	30.91340
KLHDC5	1_72499738_72512312	8.86054
KLHDC7A	21_3389_12012	5.59698
KLHDC8A	26_2031375_2040328	0.30362
KLHDC8B	12_11514295_11517426	0.83195
KLHL1	1_156898306_157112461	0.00000
KLHL10	27_4690883_4694647	0.75160
KLHL11	27_4694817_4700783	14.10560
KLHL12	26_486372_498815	2.87219
KLHL13	4_3175740_3244038	10.00230
KLHL14	2_106270477_106331443	0.72892
KLHL15	1_117678677_117701595	15.45120
KLHL17	21_2867444_2883594	0.84865
KLHL18,LOC101747632	2_3956021_3979476	9.64099
KLHL2	4_23265492_23326305	12.13340
KLHL20	8_5511292_5532545	15.89110
KLHL21	21_560938_569917	48.33300
KLHL22	15_8282394_8297512	4.13216
KLHL23	7_18084936_18090274	0.00000
KLHL24	9_2102435_2111925	9.37757
KLHL25	10_13447548_13461461	16.49940
KLHL26	28_3621795_3637551	0.58508
KLHL28	5_58742919_58753831	4.42521
KLHL29	3_103235718_103638613	5.62493
KLHL3	13_13818437_13853563	4.70605
KLHL30	9_4327964_4331627	0.00000
KLHL31	3_87554345_87560992	0.13471
KLHL32	3_71943257_72029883	0.28697
KLHL34	1_118607099_118612461	0.00000
KLHL35	Un_8373262_8374641	0.21635
KLHL36	11_16301807_16316669	8.18750
KLHL38	2_137695053_137702609	0.26354
KLHL4	4_8058000_8091624	0.00000
KLHL5	4_69001035_69035114	6.40241
KLHL6	9_2069218_2087633	0.13810
KLHL7	2_31085290_31108849	19.60880
KLHL8	4_45142122_45159564	2.01674
KLK7	1_77713478_77715433	0.00000
KMO	7_7162289_7173087	6.53936
KNDC1	6_21076440_21135310	0.00000
KNG1	9_15643032_15660362	74.82080
KNTC1	15_5903294_5936975	0.00000
KPNA1	1_76288628_76339983	28.02780
KPNA2	18_6953319_6958961	17.81730
KPNA3	1_168573972_168608576	25.62760
KPNA4	9_21589007_21612223	81.95370
KPNA5	3_63187365_63207064	11.97050
KPNA6	23_5126929_5142990	31.08500
KPNA7	14_4305857_4312108	0.81597
KPNB1	27_random_92419_110010	126.41800
KRAS	1_67335731_67358746	34.38120
KREMEN1	15_7808209_7826205	11.51890
KRIT1	2_22639160_22659508	13.95130
KRR1	1_37736692_37742158	41.56590
KRT12	27_4508059_4516040	0.60592
KRT14	27_4618777_4622608	0.11846
KRT15	27_4541981_4546407	0.00000
KRT19	27_4549318_4553981	0.46184
KRT20	27_4516077_4520191	113.81800
KRT222	27_4500720_4506323	0.28397
KRT23	27_4529605_4539455	1.33360
KRT3	LGE22C19W28_E50C23_657673_664043	1.46945
KRT4	LGE22C19W28_E50C23_558648_563623	0.00000
KRT5	LGE22C19W28_E50C23_667140_674003	0.68534
KRT6A	LGE22C19W28_E50C23_679788_684915	1.91678
KRT7	LGE22C19W28_E50C23_683071_717849	1113.41000
KRT75	LGE22C19W28_E50C23_688656_692493	0.00000
KRT75L1	LGE22C19W28_E50C23_568523_572789	0.00000
KRT75L2	LGE22C19W28_E50C23_586300_591398	0.15111
KRT75L3	LGE22C19W28_E50C23_644648_653266	0.00000
KRT75L4	LGE22C19W28_E50C23_random_363362_366787	0.00000
KRT8	LGE22C19W28_E50C23_543741_550152	115.23300
KRT80	LGE22C19W28_E50C23_727433_746090	0.16697
KRTAP10-4	25_766675_767730	0.00000
KRTAP19-2	25_869098_869506	0.00000
KRTCAP3	3_104057393_104059801	6.52620
KSR1	19_9131330_9188881	1.47540
KTN1	5_55982523_56052851	36.43390
KY	9_3188410_3201821	0.00000
KYNU	7_32140999_32198526	2.52771
L1CAM	Un_2094793_2096035	0.00000
L2HGDH	5_57661946_57676533	2.63342
